corp_code,year,quarter_code,revenue,operating_income,net_income,profitability_symbol,growth_symbol
126380,2020,11013,55325178000000.0,6447345000000.0,4884926000000.0,Profitable,Unknown
126380,2020,11012,52966142000000.0,8146292000000.0,5555083000000.0,Profitable,Unknown
126380,2020,11014,66964160000000.0,12353238000000.0,9360693000000.0,Profitable,Unknown
126380,2020,11011,236806988000000.0,35993876000000.0,26407832000000.0,Profitable,Unknown
126380,2021,11013,65388503000000.0,9382868000000.0,7141685000000.0,Profitable,Unknown
126380,2021,11012,63671585000000.0,12566745000000.0,9634486000000.0,Profitable,Unknown
126380,2021,11014,73979187000000.0,15817531000000.0,12293331000000.0,Profitable,Unknown
126380,2021,11011,279604799000000.0,51633856000000.0,39907450000000.0,Profitable,Unknown
126380,2022,11013,77781498000000.0,14121409000000.0,11324628000000.0,Profitable,Unknown
126380,2022,11012,77203607000000.0,14097045000000.0,11098805000000.0,Profitable,Unknown
126380,2022,11014,76781680000000.0,10852045000000.0,9389198000000.0,Profitable,Unknown
126380,2022,11011,302231360000000.0,43376630000000.0,55654077000000.0,Profitable,Unknown
126380,2023,11013,63745371000000.0,640178000000.0,1574600000000.0,Profitable,Unknown
126380,2023,11012,60005533000000.0,668547000000.0,1723571000000.0,Profitable,Unknown
126380,2023,11014,67404652000000.0,2433534000000.0,5844171000000.0,Profitable,Unknown
126380,2023,11011,258935494000000.0,6566976000000.0,15487100000000.0,Profitable,Unknown
126380,2024,11013,71915601000000.0,6606009000000.0,6754708000000.0,Profitable,Unknown
126380,2024,11012,74068302000000.0,10443878000000.0,9841345000000.0,Profitable,Unknown
126380,2024,11014,79098731000000.0,9183371000000.0,10100904000000.0,Profitable,Unknown
126380,2024,11011,300870903000000.0,32725961000000.0,34451351000000.0,Profitable,Unknown
126380,2025,11013,79140503000000.0,6685272000000.0,8222878000000.0,Profitable,Unknown
126380,2025,11012,74566317000000.0,4676057000000.0,5116435000000.0,Profitable,Unknown
126380,2025,11014,86061747000000.0,12166062000000.0,12225747000000.0,Profitable,Unknown
164779,2020,11013,7198892000000.0,800301000000.0,649050000000.0,Profitable,Unknown
164779,2020,11012,8606534000000.0,1946715000000.0,1264260000000.0,Profitable,Unknown
