ticker,shortName,sector,country,currency,marketCap,totalDebt,totalCash,debtToEquity,currentRatio,quickRatio,cost_of_debt_est,totalRevenue,revenueGrowth,ebitda,ebitdaMargins,grossMargins,operatingMargins,profitMargins,returnOnEquity,returnOnAssets,trailingPE,forwardPE,pegRatio,priceToBook,freeCashflow,operatingCashflow,interestExpense
NVDA,NVIDIA Corporation,Technology,United States,USD,4406563569664,10821999616,60608000000,9.102,4.468,3.605,,187141996544,0.625,112696000512,0.60220003,0.7005,0.63168997,0.53007,1.07359,0.53528,44.799507,24.071821,,36.99714,53282873344,83158999040,
TSM,Taiwan Semiconductor Manufactur,Technology,Taiwan,USD,1498640547840,1029087035392,2751035604992,20.436,2.693,2.397,,3631424995328,0.303,2484714078208,0.68422997,0.58976,0.50578,0.43287,0.34657001,0.16629,30.036385,23.01208,,47.288708,628505444352,2169672171520,
INTC,Intel Corporation,Technology,United States,USD,175631400960,46553001984,30934999040,39.881,1.602,1.057,,53439000576,0.028,10437000192,0.19531,0.33023,0.06284,0.0037099998,0.0018600001,-0.00463,613.6667,61.831436,,1.6496416,-4420874752,8574000128,
MU,"Micron Technology, Inc.",Technology,United States,USD,299295440896,12492999680,10318000128,21.244,2.46,1.7,,42311999488,0.567,22233999360,0.52548003,0.45308998,0.44974998,0.28146,0.22554001,0.10934,25.253563,7.0878572,,5.091717,444249984,22691999744,
ASML,ASML Holding N.V. - New York Re,Technology,Netherlands,USD,409891733504,2704699904,5128200192,14.24,1.308,0.604,,32212000768,0.007,12157899776,0.37743,0.52711,0.32841998,0.29378,0.53852004,0.16155,37.170715,34.809315,,18.388908,9320262656,10792999936,
AMAT,"Applied Materials, Inc.",Technology,United States,USD,204267094016,7049999872,8573000192,34.533,2.61,1.72,,28367998976,-0.035,8945999872,0.31535998,0.48675,0.28441,0.24669,0.35508,0.15045999,29.574394,22.187841,,9.959991,3653250048,7958000128,
LRCX,Lam Research Corporation,Technology,United States,USD,217238044672,4483942912,6693045760,43.991,2.207,1.539,,19591788544,0.277,6859485184,0.35012,0.49313,0.34354,0.29657,0.62261003,0.19507,38.028698,30.626652,,21.281038,4278629376,6383756800,
AVGO,Broadcom Inc.,Technology,United States,USD,1613739851776,40456998912,11105000448,166.032,1.705,1.53,,63886999552,0.164,35002998784,0.54789,0.77325994,0.31765,0.36198002,0.31048,0.09788,71.354294,24.521471,,5.7472854,25044125696,27537000448,
AMD,"Advanced Micro Devices, Inc.",Technology,United States,USD,347472920576,3870000128,7242999808,6.366,2.308,1.176,,32027000832,0.356,6054000128,0.18902999,0.51457,0.13736,0.10323,0.05317,0.025980001,112.33157,33.045044,,5.715854,3245499904,6408000000,
QCOM,QUALCOMM Incorporated,Technology,United States,USD,189094756352,15642999808,10154999808,73.767,2.816,1.582,,44283998208,0.1,13996000256,0.31605,0.55429,0.26235,0.12512,0.2334,0.14713,34.980038,14.10061,,8.875665,6856249856,14012000256,
TXN,Texas Instruments Incorporated,Technology,United States,USD,160271777792,14046000128,5185999872,84.477,4.45,2.806,,17265999872,0.142,7815000064,0.45262,0.57483,0.36736,0.29208001,0.29757,0.10697,32.16971,28.560642,,9.637547,-684249984,6896999936,
