ticker,date,price,sax_symbol,trend,volatility,daily_return,zscore
000990.KS,2020-01-03,27600.0,D2,Downtrend,Unknown,-0.010752688172043001,0.0
000990.KS,2020-01-06,28000.0,D2,Downtrend,Unknown,0.01449275362318847,0.0
000990.KS,2020-01-07,28000.0,D2,Downtrend,Unknown,0.0,0.0
000990.KS,2020-01-08,28950.0,D2,Downtrend,Unknown,0.03392857142857153,0.0
000990.KS,2020-01-09,29050.0,D2,Downtrend,Unknown,0.003454231433505983,0.0
000990.KS,2020-01-10,28150.0,D2,Downtrend,Unknown,-0.030981067125645412,0.0
000990.KS,2020-01-13,28800.0,D2,Downtrend,Unknown,0.023090586145648295,0.0
000990.KS,2020-01-14,30150.0,D2,Downtrend,Unknown,0.046875,0.0
000990.KS,2020-01-15,28800.0,D2,Downtrend,Unknown,-0.04477611940298509,0.0
000990.KS,2020-01-16,29100.0,D2,Downtrend,Unknown,0.01041666666666674,0.0
000990.KS,2020-01-17,28450.0,D2,Downtrend,Unknown,-0.022336769759450203,0.0
000990.KS,2020-01-20,29000.0,D2,Downtrend,Unknown,0.019332161687170446,0.0
000990.KS,2020-01-21,29100.0,D2,Downtrend,Unknown,0.0034482758620688614,0.0
000990.KS,2020-01-22,31300.0,D2,Downtrend,Unknown,0.07560137457044669,0.0
000990.KS,2020-01-23,30300.0,D2,Downtrend,Unknown,-0.03194888178913735,0.0
000990.KS,2020-01-28,29800.0,D2,Downtrend,Unknown,-0.01650165016501648,0.0
000990.KS,2020-01-29,29350.0,D2,Downtrend,Unknown,-0.015100671140939603,0.0
000990.KS,2020-01-30,28850.0,D2,Downtrend,Unknown,-0.017035775127768327,0.0
000990.KS,2020-01-31,27350.0,D2,Downtrend,Unknown,-0.051993067590987874,0.0
000990.KS,2020-02-03,28800.0,D2,Downtrend,High,0.05301645338208405,0.0
000990.KS,2020-02-04,29150.0,D2,Downtrend,High,0.012152777777777679,0.0
000990.KS,2020-02-05,28300.0,D2,Downtrend,High,-0.029159519725557415,0.0
000990.KS,2020-02-06,28800.0,D2,Downtrend,High,0.0176678445229681,0.0
000990.KS,2020-02-07,28300.0,D2,Downtrend,High,-0.01736111111111116,0.0
000990.KS,2020-02-10,29050.0,D2,Downtrend,High,0.026501766784452263,0.0
000990.KS,2020-02-11,28000.0,D2,Downtrend,High,-0.03614457831325302,0.0
000990.KS,2020-02-12,28700.0,D2,Downtrend,High,0.02499999999999991,0.0
000990.KS,2020-02-13,29850.0,D2,Downtrend,High,0.04006968641114983,0.0
000990.KS,2020-02-14,30150.0,D2,Downtrend,High,0.01005025125628145,0.0
000990.KS,2020-02-17,29850.0,D2,Downtrend,High,-0.00995024875621886,0.0
000990.KS,2020-02-18,28700.0,D2,Downtrend,High,-0.038525963149078746,0.0
000990.KS,2020-02-19,28700.0,D2,Downtrend,High,0.0,0.0
000990.KS,2020-02-20,28550.0,D2,Downtrend,High,-0.005226480836236891,0.0
000990.KS,2020-02-21,27800.0,D2,Downtrend,Medium,-0.02626970227670755,0.0
000990.KS,2020-02-24,27000.0,D2,Downtrend,Medium,-0.02877697841726623,0.0
000990.KS,2020-02-25,27750.0,D2,Downtrend,Medium,0.02777777777777768,0.0
000990.KS,2020-02-26,27300.0,D2,Downtrend,Medium,-0.01621621621621616,0.0
000990.KS,2020-02-27,25700.0,D2,Downtrend,High,-0.05860805860805862,0.0
000990.KS,2020-02-28,23800.0,D2,Downtrend,High,-0.07392996108949412,0.0
000990.KS,2020-03-02,25650.0,D2,Downtrend,High,0.07773109243697474,0.0
000990.KS,2020-03-03,25200.0,D2,Downtrend,High,-0.01754385964912286,0.0
000990.KS,2020-03-04,25800.0,D2,Downtrend,High,0.023809523809523725,0.0
000990.KS,2020-03-05,25650.0,D2,Downtrend,High,-0.005813953488372103,0.0
000990.KS,2020-03-06,25300.0,D2,Downtrend,High,-0.013645224171540016,0.0
000990.KS,2020-03-09,25300.0,D2,Downtrend,High,0.0,0.0
000990.KS,2020-03-10,24700.0,D2,Downtrend,High,-0.02371541501976282,0.0
000990.KS,2020-03-11,22950.0,D2,Downtrend,High,-0.07085020242914974,0.0
000990.KS,2020-03-12,22950.0,D2,Downtrend,High,0.0,0.0
000990.KS,2020-03-13,20950.0,D2,Downtrend,High,-0.08714596949891062,0.0
000990.KS,2020-03-16,18950.0,D2,Downtrend,High,-0.09546539379474939,0.0
000990.KS,2020-03-17,18800.0,D2,Downtrend,High,-0.0079155672823219,0.0
000990.KS,2020-03-18,16550.0,D2,Downtrend,High,-0.11968085106382975,0.0
000990.KS,2020-03-19,15000.0,D2,Downtrend,High,-0.09365558912386707,0.0
000990.KS,2020-03-20,17300.0,D2,Downtrend,High,0.15333333333333332,0.0
000990.KS,2020-03-23,17750.0,D2,Downtrend,High,0.026011560693641522,0.0
000990.KS,2020-03-24,20600.0,D2,Downtrend,High,0.16056338028169015,0.0
000990.KS,2020-03-25,21250.0,D2,Downtrend,High,0.031553398058252524,0.0
000990.KS,2020-03-26,20550.0,D2,Downtrend,High,-0.03294117647058825,0.0
000990.KS,2020-03-27,21050.0,D2,Downtrend,High,0.024330900243308973,-1.3073115272468088
000990.KS,2020-03-30,21050.0,D2,Downtrend,High,0.0,-1.2627693431249976
000990.KS,2020-03-31,21650.0,D2,Downtrend,High,0.028503562945368266,-1.0791512480216385
000990.KS,2020-04-01,20900.0,D2,Downtrend,High,-0.034642032332563466,-1.2213516447127546
000990.KS,2020-04-02,21350.0,D2,Downtrend,High,0.021531100478468845,-1.0761602985804797
000990.KS,2020-04-03,20900.0,D2,Downtrend,High,-0.021077283372365363,-1.1451993648196663
000990.KS,2020-04-06,22150.0,D2,Downtrend,High,0.05980861244019131,-0.817099808654438
000990.KS,2020-04-07,23450.0,D2,Downtrend,High,0.05869074492099324,-0.48650163404588287
000990.KS,2020-04-08,23750.0,D2,Downtrend,High,0.01279317697228155,-0.39571600473476826
000990.KS,2020-04-09,24350.0,D2,Downtrend,High,0.025263157894736876,-0.2298964249955895
000990.KS,2020-04-10,23700.0,D2,Downtrend,High,-0.026694045174537995,-0.36987362778748684
000990.KS,2020-04-13,22200.0,D2,Downtrend,High,-0.06329113924050633,-0.7125941445697211
000990.KS,2020-04-14,22850.0,D2,Downtrend,High,0.029279279279279313,-0.5312208790747677
000990.KS,2020-04-16,23800.0,D2,Downtrend,High,0.04157549234135671,-0.27695164344156303
000990.KS,2020-04-17,24050.0,D2,Downtrend,High,0.010504201680672232,-0.19541976298757524
000990.KS,2020-04-20,23700.0,D2,Downtrend,High,-0.014553014553014498,-0.2574241472020963
000990.KS,2020-04-21,24300.0,D2,Downtrend,High,0.025316455696202445,-0.07864448234236869
000990.KS,2020-04-22,25500.0,D2,Downtrend,High,0.04938271604938271,0.2587512601485994
000990.KS,2020-04-23,26250.0,D2,Downtrend,High,0.02941176470588225,0.478143347819361
000990.KS,2020-04-24,26100.0,D2,Downtrend,High,-0.005714285714285672,0.45473645774224963
000990.KS,2020-04-27,26300.0,D2,Downtrend,High,0.00766283524904221,0.5156298581194131
000990.KS,2020-04-28,26050.0,D2,Downtrend,High,-0.009505703422053258,0.4647671259039646
000990.KS,2020-04-29,26750.0,D2,Downtrend,High,0.026871401151631558,0.6767925541404307
000990.KS,2020-05-04,25450.0,D2,Downtrend,High,-0.04859813084112152,0.3300876086726351
000990.KS,2020-05-06,26600.0,D2,Downtrend,High,0.04518664047151266,0.671767931099453
000990.KS,2020-05-07,27200.0,D2,Downtrend,High,0.022556390977443552,0.8525769605627291
000990.KS,2020-05-08,28050.0,D2,Downtrend,High,0.03125,1.107648358583083
000990.KS,2020-05-11,27800.0,D2,Downtrend,High,-0.0089126559714795,1.037608693616443
000990.KS,2020-05-12,27400.0,D2,Downtrend,High,-0.014388489208633115,0.9350534575048506
000990.KS,2020-05-13,27550.0,D2,Downtrend,High,0.005474452554744547,1.004929123305324
000990.KS,2020-05-14,28400.0,D2,Downtrend,High,0.030852994555353952,1.2815489391004364
000990.KS,2020-05-15,28600.0,D2,Downtrend,Medium,0.007042253521126751,1.360881301447565
000990.KS,2020-05-18,28150.0,D2,Downtrend,Medium,-0.01573426573426573,1.232265446703787
000990.KS,2020-05-19,27800.0,D2,Downtrend,Medium,-0.01243339253996445,1.1373659305307053
000990.KS,2020-05-20,28350.0,D2,Downtrend,Medium,0.019784172661870603,1.3079361600198978
000990.KS,2020-05-21,28100.0,D2,Downtrend,Medium,-0.00881834215167554,1.2277981547066672
000990.KS,2020-05-22,27300.0,D2,Downtrend,Medium,-0.028469750889679735,0.9809665366583261
000990.KS,2020-05-25,32150.0,D2,Downtrend,High,0.1776556776556777,2.3424026677853815
000990.KS,2020-05-26,32700.0,D2,Downtrend,High,0.01710730948678063,2.3714337200912716
000990.KS,2020-05-27,30600.0,D2,Downtrend,High,-0.06422018348623848,1.7170096724966997
000990.KS,2020-05-28,29300.0,D2,Downtrend,High,-0.042483660130718914,1.3164835407692232
000990.KS,2020-05-29,28600.0,D2,Downtrend,High,-0.023890784982935176,1.1039084861576525
000990.KS,2020-06-01,30700.0,D2,Downtrend,High,0.07342657342657333,1.603629680169669
000990.KS,2020-06-02,30350.0,D2,Downtrend,High,-0.01140065146579805,1.4659340558953475
000990.KS,2020-06-03,30400.0,D2,Downtrend,High,0.0016474464579900872,1.4332486766900983
000990.KS,2020-06-04,30250.0,D2,Downtrend,High,-0.004934210526315819,1.3530778610210537
000990.KS,2020-06-05,30450.0,D2,Downtrend,High,0.006611570247933907,1.3593907925682251
000990.KS,2020-06-08,30650.0,D2,Downtrend,High,0.006568144499178974,1.3617180513919627
000990.KS,2020-06-09,30050.0,D2,Downtrend,High,-0.019575856443719397,1.1773897901061616
000990.KS,2020-06-10,29950.0,D2,Downtrend,High,-0.0033277870216306127,1.1162463584407263
000990.KS,2020-06-11,29750.0,D2,Downtrend,High,-0.006677796327211993,1.0340157521122006
000990.KS,2020-06-12,28850.0,D2,Downtrend,High,-0.030252100840336138,0.7946982360956282
000990.KS,2020-06-15,27000.0,D2,Downtrend,High,-0.06412478336221838,0.32705408628533933
000990.KS,2020-06-16,28050.0,D2,Downtrend,High,0.03888888888888897,0.5596386135506111
000990.KS,2020-06-17,27950.0,D2,Downtrend,High,-0.0035650623885917776,0.5130855742521344
000990.KS,2020-06-18,27900.0,D2,Downtrend,High,-0.0017889087656529634,0.474379536473422
000990.KS,2020-06-19,29200.0,D2,Downtrend,High,0.04659498207885315,0.8311890643969161
000990.KS,2020-06-22,28850.0,D2,Downtrend,High,-0.011986301369863006,0.7005410178972606
000990.KS,2020-06-23,28450.0,D2,Downtrend,High,-0.013864818024263426,0.5520290316791551
000990.KS,2020-06-24,29500.0,D2,Downtrend,High,0.03690685413005279,0.8578111208978133
000990.KS,2020-06-25,28300.0,D2,Downtrend,High,-0.04067796610169494,0.4443212314018877
000990.KS,2020-06-26,28850.0,D2,Downtrend,High,0.019434628975264934,0.6025122731524563
000990.KS,2020-06-29,28750.0,D2,Downtrend,Medium,-0.0034662045060658286,0.5428449431224421
000990.KS,2020-06-30,28850.0,D2,Downtrend,Medium,0.003478260869565153,0.5541900808502732
000990.KS,2020-07-01,28500.0,D2,Downtrend,Medium,-0.012131715771230511,0.3980626024266933
000990.KS,2020-07-02,28650.0,D2,Downtrend,Medium,0.0052631578947368585,0.4296135806876635
000990.KS,2020-07-03,28600.0,D2,Downtrend,Medium,-0.0017452006980802626,0.38160069024512766
000990.KS,2020-07-06,30400.0,D2,Downtrend,Medium,0.06293706293706292,1.1155420752297593
000990.KS,2020-07-07,29400.0,D2,Downtrend,High,-0.03289473684210531,0.6585215300359349
000990.KS,2020-07-08,29200.0,D2,Downtrend,High,-0.006802721088435382,0.5447850384312015
000990.KS,2020-07-09,29100.0,D2,Downtrend,High,-0.003424657534246589,0.473806986387628
000990.KS,2020-07-10,30450.0,D2,Downtrend,High,0.046391752577319645,1.0999162146785746
000990.KS,2020-07-13,30500.0,D2,Downtrend,Medium,0.0016420361247948545,1.1199198337985778
000990.KS,2020-07-14,30750.0,D2,Downtrend,Medium,0.008196721311475308,1.2348767309510897
000990.KS,2020-07-15,31850.0,D2,Downtrend,Medium,0.03577235772357734,1.7987147580039418
000990.KS,2020-07-16,30900.0,D2,Downtrend,Medium,-0.02982731554160123,1.2737609349974952
000990.KS,2020-07-17,31350.0,D2,Downtrend,Medium,0.014563106796116498,1.5269036862241199
000990.KS,2020-07-20,31350.0,D2,Downtrend,Medium,0.0,1.4926457307668228
000990.KS,2020-07-21,30900.0,D2,Downtrend,Medium,-0.014354066985645897,1.1816089763287247
000990.KS,2020-07-22,30400.0,D2,Downtrend,Medium,-0.016181229773462813,0.8444106859205847
000990.KS,2020-07-23,30750.0,D2,Downtrend,Medium,0.011513157894736947,1.0392187878914532
000990.KS,2020-07-24,30150.0,D2,Downtrend,Medium,-0.019512195121951237,0.6253299304744327
000990.KS,2020-07-27,31050.0,D2,Downtrend,Medium,0.029850746268656803,1.1952841092453448
000990.KS,2020-07-28,33300.0,D2,Downtrend,Medium,0.07246376811594213,2.6313318442398286
000990.KS,2020-07-29,33450.0,D2,Downtrend,Medium,0.0045045045045044585,2.581270076157355
000990.KS,2020-07-30,35150.0,D2,Downtrend,High,0.05082212257100149,3.3215216815992354
000990.KS,2020-07-31,34100.0,D2,Downtrend,High,-0.02987197724039825,2.4997252376240366
000990.KS,2020-08-03,34900.0,D2,Downtrend,Medium,0.02346041055718473,2.7312503536185315
000990.KS,2020-08-04,35200.0,D2,Downtrend,Medium,0.008595988538681931,2.6853641647255015
000990.KS,2020-08-05,34300.0,D2,Downtrend,Medium,-0.025568181818181768,2.106400168284686
000990.KS,2020-08-06,34200.0,D2,Downtrend,Medium,-0.002915451895043719,1.9528667573302148
000990.KS,2020-08-07,33750.0,D2,Downtrend,Medium,-0.013157894736842146,1.6581872808106757
000990.KS,2020-08-10,34100.0,D2,Downtrend,Medium,0.010370370370370363,1.748115583737439
000990.KS,2020-08-11,33550.0,D2,Downtrend,Medium,-0.016129032258064502,1.4353106990565927
000990.KS,2020-08-12,34700.0,D2,Downtrend,Medium,0.03427719821162434,1.8846990321184713
